epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,9574.84,1.02772,1.87303,1.30292,0.96056,0.97588,0.98505,0.7581,0.97279,1.20386,1.22873,0.000220375,0.000220375,0.000220375
65,9723.72,1.0267,1.87869,1.30494,0.96277,0.97307,0.98544,0.76146,0.96328,1.19036,1.22255,0.000208,0.000208,0.000208
66,9873.32,1.02094,1.85819,1.30022,0.96285,0.97396,0.98482,0.76661,0.95665,1.19059,1.21302,0.000195625,0.000195625,0.000195625
67,10022.9,1.01725,1.86128,1.29485,0.96819,0.97427,0.98367,0.76524,0.95513,1.19225,1.21548,0.00018325,0.00018325,0.00018325
68,10174.2,1.01196,1.85456,1.29453,0.96761,0.97593,0.98465,0.76568,0.9446,1.19517,1.21042,0.000170875,0.000170875,0.000170875
69,10325.2,1.0173,1.83888,1.29839,0.96268,0.97859,0.98546,0.76747,0.94577,1.17162,1.21093,0.0001585,0.0001585,0.0001585
70,10476.2,1.01406,1.84526,1.30138,0.96339,0.97503,0.98609,0.7684,0.9421,1.18698,1.21591,0.000146125,0.000146125,0.000146125
71,10613.7,0.91848,1.19482,1.24084,0.96246,0.97482,0.98437,0.76765,0.94273,1.18787,1.21955,0.00013375,0.00013375,0.00013375
72,10746.3,0.90164,1.16316,1.22426,0.96614,0.97431,0.98423,0.76446,0.95247,1.18442,1.21572,0.000121375,0.000121375,0.000121375
73,10880.2,0.89292,1.16945,1.20945,0.96306,0.97628,0.98653,0.76812,0.95448,1.18066,1.20837,0.000109,0.000109,0.000109
74,11015.7,0.87965,1.13351,1.20499,0.96544,0.9759,0.98507,0.76912,0.95147,1.16023,1.21275,9.6625e-05,9.6625e-05,9.6625e-05
75,11151.2,0.87966,1.14177,1.21237,0.96414,0.97706,0.98501,0.76889,0.95077,1.17464,1.21778,8.425e-05,8.425e-05,8.425e-05
76,11286,0.8732,1.12564,1.20858,0.96479,0.97814,0.98557,0.76623,0.95653,1.18113,1.22603,7.1875e-05,7.1875e-05,7.1875e-05
77,11420,0.86254,1.10848,1.19623,0.96436,0.97879,0.98543,0.76692,0.95071,1.18252,1.2149,5.95e-05,5.95e-05,5.95e-05
78,11553.7,0.85421,1.10566,1.19346,0.96549,0.97756,0.98567,0.7697,0.94337,1.17923,1.20592,4.7125e-05,4.7125e-05,4.7125e-05
79,11687.4,0.86045,1.10632,1.19924,0.96554,0.97734,0.98491,0.76806,0.94445,1.17054,1.2102,3.475e-05,3.475e-05,3.475e-05
80,11821.7,0.85427,1.09601,1.18998,0.9639,0.97781,0.98511,0.76971,0.94368,1.16517,1.20837,2.2375e-05,2.2375e-05,2.2375e-05
